	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000032714	579.4	660.8	-0.203594015943297	3.93693229173816	8.40712579385617	0.00644690751238365	0.0269611886429381
ENSMUSG00000039661	2582.2	2782.4	-0.110726832571872	6.07734179652672	8.40373032980094	0.00645657002823943	0.0269944656568943
ENSMUSG00000053012	351.6	408	-0.23482285105699	3.28153004978331	8.4026156296928	0.00645974553323211	0.0270006105216612
ENSMUSG00000016256	2136.8	2379.6	-0.152482802017845	5.77843250338971	8.40087178846252	0.00646471666906812	0.0270123303045657
ENSMUSG00000000876	368.6	407.4	-0.165152752505209	3.30861181531989	8.40043500454744	0.00646596244386882	0.0270123303045657
ENSMUSG00000047881	549.2	634	-0.195807507964635	3.88400970486447	8.38247443623811	0.00651741257519806	0.0272200853965198
ENSMUSG00000048924	780.8	1057.4	-0.442257580083386	4.54646297755212	8.56101952192515	0.00652732650118941	0.0272542999702789
ENSMUSG00000025810	840.2	724.4	0.238522826356359	4.32591543859006	8.38994453602148	0.00653345159791442	0.0272726807340156
ENSMUSG00000000915	5649.8	6112	-0.109371714858027	7.18347978199562	8.37149466582187	0.00654908172797737	0.0273235247511076
ENSMUSG00000020572	2345.2	2562.2	-0.131399682944291	5.91829051960802	8.37107646238722	0.00655029122110217	0.0273235247511076
ENSMUSG00000032392	111.4	134	-0.286815222113899	1.64387432160853	8.3703630852288	0.00655235494451759	0.0273235247511076
ENSMUSG00000041757	8085	8942.6	-0.143621935053402	7.81189044544282	8.37119670126422	0.00655253648083925	0.0273235247511076
ENSMUSG00000075705	784.2	696.8	0.171280622260918	4.16247106039562	8.36635241298649	0.00656397038916196	0.0273639945457057
ENSMUSG00000045671	10635.6	9073	0.235859364933011	8.02676773150018	8.46633510150743	0.00657086936284314	0.0273855426920601
ENSMUSG00000037514	1044.6	975.8	0.0947418191045628	4.69442394669821	8.36143024338038	0.00657825587319039	0.0274072979912806
ENSMUSG00000038371	2244.4	2083.2	0.10718752128756	5.78637814269003	8.36098413948807	0.00657955223746707	0.0274072979912806
