	GeneID	Chr	Symbol	NExons	P.Value	FDR
13878	381318	1	Nsl1	6	0.109458536483599	1
125513	17349	3	Mlf1	8	0.109809257002026	1
125296	229357	3	Gpr149	4	0.10998485523198	1
46558	104799	12	Vipas39	21	0.110102566135848	1
181108	244049	7	Mctp2	23	0.110162556033779	1
3735	227195	1	Ino80d	12	0.110413275180649	1
192461	319940	8	Sorbs2os	6	0.110538423600698	1
121172	228869	2	Ncoa5	8	0.111051224702753	1
92059	240186	18	Zfp438	5	0.11192023704103	1
72730	106042	15	Prickle1	8	0.112026045765731	1
21822	67270	10	Mrpl42	6	0.112336767108402	1
130627	229776	3	Cdc14a	16	0.112517353300669	1
26678	75572	11	Acyp2	4	0.112941453114165	1
3327	12370	1	Casp8	10	0.11314867694001	1
16139	19714	10	Rev3l	32	0.113313259995838	1
30495	104709	11	Pik3r6	20	0.113329466885603	1
5020	13346	1	Des	9	0.113828650368296	1
218682	100503212	X	LOC100503212	2	0.114257519038152	1
109171	67889	2	Rbm18	6	0.114431524424711	1
167975	101401	6	Adamts9	30	0.114435906165695	1
61516	100101484	14	Trac	4	0.114714618676754	1
106848	77481	2	C030048H21Rik	14	0.114853875336297	1
137572	18028	4	Nfib	12	0.11502308270702	1
34036	71770	11	Ap2b1	22	0.115126842310325	1
57975	16529	14	Kcnk5	5	0.115373797267815	1
29527	26397	11	Map2k3	12	0.115489369939036	1
116004	140476	2	Strc	29	0.1159208063004	1
171212	93694	6	Clec2d	5	0.116233353395902	1
159616	22697	5	Zscan21	5	0.116344455166021	1
90683	22436	17	Xdh	36	0.117122973898805	1
47977	13386	12	Dlk1	6	0.11715910288424	1
85283	13417	17	Dnah8	93	0.117783341727362	1
195161	73453	8	1700067K01Rik	6	0.118504527822238	1
17042	18768	10	Pkib	9	0.118844795440498	1
120529	320799	2	Zhx3	4	0.119651367246659	1
123020	80892	3	Zfhx4	11	0.119881287603851	1
190547	244310	8	Dlgap2	16	0.120031929837905	1
124233	71492	3	Bbs7	19	0.120497391087455	1
7327	27392	1	Pign	31	0.120527338427476	1
78069	171286	16	Slc12a8	14	0.120693321724447	1
37179	19183	11	Psmc3ip	8	0.120908642653221	1
143140	230815	4	Man1c1	12	0.121126357015837	1
